country_or_region,date,variable,generation_twh
Romania,01-10-20,Clean,3.04
Romania,01-10-20,Coal,0.82
Romania,01-10-20,Fossil,1.39
Romania,01-10-20,Gas,0.57
Romania,01-10-20,Hydro,1.31
Romania,01-10-20,Nuclear,1.05
Romania,01-10-20,Solar,0.09
Romania,01-10-20,Wind,0.54
Romania,01-10-20,Wind and solar,0.63
Romania,01-11-20,Bioenergy,0.05
Romania,01-11-20,Clean,2.81
Romania,01-11-20,Coal,0.89
Romania,01-11-20,Fossil,1.98
Romania,01-11-20,Gas,1.09
Romania,01-11-20,Hydro,1.3
Romania,01-11-20,Nuclear,1.02
Romania,01-11-20,Solar,0.05
Romania,01-11-20,Wind,0.39
Romania,01-11-20,Wind and solar,0.44
Romania,01-12-20,Bioenergy,0.06
Romania,01-12-20,Clean,3.21
Romania,01-12-20,Coal,0.98
Romania,01-12-20,Fossil,2.15
Romania,01-12-20,Gas,1.17
Romania,01-12-20,Hydro,1.31
Romania,01-12-20,Nuclear,1.05
Romania,01-12-20,Solar,0.03
Romania,01-12-20,Wind,0.76
Romania,01-12-20,Wind and solar,0.79
Romania,01-01-21,Bioenergy,0.05
Romania,01-01-21,Clean,3.46
Romania,01-01-21,Coal,0.9
Romania,01-01-21,Fossil,2.04
Romania,01-01-21,Gas,1.14
Romania,01-01-21,Hydro,1.65
Romania,01-01-21,Nuclear,0.92
Romania,01-01-21,Solar,0.04
Romania,01-01-21,Wind,0.8
Romania,01-01-21,Wind and solar,0.84
Romania,01-02-21,Bioenergy,0.05
Romania,01-02-21,Clean,3.19
